

gen best mean std
0 0.163132 -0.499389 0.524324
1 0.396825 -0.302965 0.217663
2 0.396825 -0.281371 0.257401
3 0.396825 -0.268846 0.280347
4 0.396825 -0.270042 0.278969
5 0.363636 -0.206766 0.209339
6 0.363636 -0.229579 0.260318
7 0.363636 -0.226957 0.245913
8 0.363636 -0.225417 0.293388
9 0.363636 -0.199733 0.222694
10 0.363636 -0.197972 0.240686
11 0.363636 -0.205941 0.257516
12 0.363636 -0.233743 0.252748
13 0.363636 -0.241395 0.305617
14 0.363636 -0.197886 0.243797
15 0.363636 -0.186794 0.20422
doomsday
16 0.380228 -0.242633 0.397198
17 0.380228 -0.165818 0.280559
18 0.380228 -0.208117 0.27811
19 0.363636 -0.189144 0.219715
