

gen best mean std
0 -0.189036 -0.454471 0.329816
1 -0.188679 -0.27739 0.115078
2 -0.186916 -0.223118 0.05098
3 -0.18622 -0.197981 0.026512
4 -0.18622 -0.190071 0.001157
5 -0.18622 -0.190162 0.000962
6 -0.18622 -0.190042 0.00115
7 -0.18622 -0.189945 0.001229
8 -0.18622 -0.189669 0.001529
9 -0.185874 -0.190232 0.010693
10 -0.185185 -0.189024 0.001784
11 -0.185185 -0.189831 0.005385
12 -0.185185 -0.189559 0.010739
13 -0.185185 -0.190987 0.015423
14 -0.185185 -0.189667 0.011536
15 -0.185185 -0.189054 0.011323
16 -0.185185 -0.189295 0.011138
doomsday
17 -0.185185 -0.20167 0.038784
18 -0.185185 -0.190082 0.015774
19 -0.183486 -0.190673 0.018687
